barrio,distrito,price,size,rooms,bathrooms
la Nova Esquerra de l'Eixample,L'Eixample,1450.0,75,2,1
Gotic,Ciutat Vella,1500.0,140,2,2
les Tres Torres,Les Corts,1800.0,113,4,3
Sarria,Les Corts,1250.0,50,2,1
el Putget i el farró,Sarrià-Sant Gervasi,2000.0,140,4,2
Sant Gervasi - Galvany,Sarrià-Sant Gervasi,2950.0,150,3,2
el Poblenou,Sant Martí,1250.0,85,1,1
Sant Gervasi - la Bonanova,Les Corts,960.0,65,3,1
el Camp d'en Grassot i Gracia Nova,Gràcia,1550.0,85,2,1
Navas,Sant Andreu,965.0,82,3,2
Sant Antoni,L'Eixample,900.0,85,2,1
les Tres Torres,Les Corts,1975.0,166,4,3
l'Antiga Esquerra de l'Eixample,L'Eixample,2000.0,130,3,2
el Raval,Ciutat Vella,1100.0,108,3,2
Hostafrancs,Sants-Montjuïc,1150.0,56,2,1
Sant Antoni,L'Eixample,950.0,62,2,1
Vallcarca i els Penitents,Sarrià-Sant Gervasi,1200.0,77,1,1
Hostafrancs,Sants-Montjuïc,1150.0,55,2,2
el Camp d'en Grassot i Gracia Nova,Gràcia,1900.0,100,1,2
Sant Gervasi - Galvany,Sarrià-Sant Gervasi,5300.0,280,6,4
Vallcarca i els Penitents,Sarrià-Sant Gervasi,1025.0,71,2,1
Sant Antoni,L'Eixample,875.0,60,3,3
el Besos i el Maresme,Sant Martí,1500.0,90,2,2
Sant Antoni,L'Eixample,776.0,42,1,1
Sant Antoni,L'Eixample,925.0,60,2,1
Hostafrancs,Sants-Montjuïc,985.0,90,2,2
la Font de la Guatlla,Sants-Montjuïc,800.0,65,3,1
el Raval,Ciutat Vella,1050.0,80,2,2
el Raval,Ciutat Vella,750.0,25,1,1
el Parc i la Llacuna del Poblenou,Sant Martí,1050.0,65,2,1
Sarria,Les Corts,1450.0,93,3,2
Sant Gervasi - Galvany,Sarrià-Sant Gervasi,3164.0,116,3,2
Sant Antoni,L'Eixample,1100.0,65,3,1
Sant Pere. Santa Caterina i la Ribera,Ciutat Vella,1700.0,72,2,2
el Parc i la Llacuna del Poblenou,Sant Martí,900.0,80,3,1
el Raval,Ciutat Vella,650.0,51,1,1
el Clot,Sant Martí,1087.0,81,3,1
el Camp d'en Grassot i Gracia Nova,Gràcia,1500.0,86,2,2
Sant Gervasi - la Bonanova,Les Corts,650.0,30,1,1
el Putget i el farró,Sarrià-Sant Gervasi,2100.0,100,3,2
Sarria,Les Corts,1400.0,55,1,1
Fort Pienc,L'Eixample,1615.0,66,1,1
Vallcarca i els Penitents,Sarrià-Sant Gervasi,895.0,45,1,1
Sant Pere. Santa Caterina i la Ribera,Ciutat Vella,1650.0,50,2,1
Sant Pere. Santa Caterina i la Ribera,Ciutat Vella,2900.0,115,2,2
el Raval,Ciutat Vella,890.0,81,2,1
Fort Pienc,L'Eixample,1590.0,120,3,1
Sant Gervasi - Galvany,Sarrià-Sant Gervasi,2800.0,214,5,4
Vallcarca i els Penitents,Sarrià-Sant Gervasi,1400.0,100,1,1
la Nova Esquerra de l'Eixample,L'Eixample,1200.0,100,5,1
el Raval,Ciutat Vella,740.0,47,2,1
la Nova Esquerra de l'Eixample,L'Eixample,1325.0,65,2,2
Diagonal Mar i el Front Maritim del Poblenou,Sant Martí,2450.0,120,3,2
Sant Antoni,L'Eixample,1000.0,50,1,1
la Maternitat i Sant Ramon,Sants-Montjuïc,1495.0,82,2,2
Sant Antoni,L'Eixample,1100.0,106,4,2
la Salut,Gràcia,950.0,62,2,2
Gotic,Ciutat Vella,1400.0,132,2,1
Sant Gervasi - la Bonanova,Les Corts,950.0,80,3,1
la Maternitat i Sant Ramon,Sants-Montjuïc,1175.0,100,1,1
Sant Gervasi - Galvany,Sarrià-Sant Gervasi,2950.0,172,3,2
Sant Gervasi - la Bonanova,Les Corts,750.0,70,2,1
Vallcarca i els Penitents,Sarrià-Sant Gervasi,1600.0,140,5,3
Sant Antoni,L'Eixample,850.0,57,3,1
l'Antiga Esquerra de l'Eixample,L'Eixample,3000.0,211,4,3
la Font de la Guatlla,Sants-Montjuïc,850.0,65,1,1
la Font de la Guatlla,Sants-Montjuïc,800.0,55,2,1
l'Antiga Esquerra de l'Eixample,L'Eixample,3800.0,200,3,3
el Raval,Ciutat Vella,750.0,45,1,1
Sant Gervasi - Galvany,Sarrià-Sant Gervasi,3550.0,253,5,4
Sant Gervasi - la Bonanova,Les Corts,1100.0,70,2,1
les Tres Torres,Les Corts,1700.0,100,4,2
Sant Antoni,L'Eixample,1100.0,70,2,1
Sant Gervasi - la Bonanova,Les Corts,950.0,60,1,1
Vallcarca i els Penitents,Sarrià-Sant Gervasi,1765.0,80,2,2
Sant Antoni,L'Eixample,1022.0,88,4,2
Sant Antoni,L'Eixample,950.0,60,1,1
les Tres Torres,Les Corts,1600.0,61,1,1
Sant Antoni,L'Eixample,900.0,95,2,1
Sant Antoni,L'Eixample,950.0,75,1,1
l'Antiga Esquerra de l'Eixample,L'Eixample,2950.0,133,2,2
Sant Pere. Santa Caterina i la Ribera,Ciutat Vella,1750.0,109,3,2
Sant Gervasi - Galvany,Sarrià-Sant Gervasi,3000.0,231,3,3
el Raval,Ciutat Vella,745.0,60,1,1
el Raval,Ciutat Vella,950.0,76,2,1
l'Antiga Esquerra de l'Eixample,L'Eixample,2967.0,111,3,2
la Vila de Gracia,Gràcia,1200.0,85,3,2
Sant Antoni,L'Eixample,780.0,58,2,1
el Raval,Ciutat Vella,1100.0,92,2,2
Barceloneta,Ciutat Vella,1250.0,90,2,2
el Camp d'en Grassot i Gracia Nova,Gràcia,1600.0,90,3,2
Sant Antoni,L'Eixample,800.0,53,1,1
Sant Gervasi - la Bonanova,Les Corts,950.0,75,3,1
Vallcarca i els Penitents,Sarrià-Sant Gervasi,950.0,81,3,2
l'Antiga Esquerra de l'Eixample,L'Eixample,1900.0,100,2,2
l'Antiga Esquerra de l'Eixample,L'Eixample,2900.0,180,4,2
Diagonal Mar i el Front Maritim del Poblenou,Sant Martí,2300.0,136,4,2
Vilapicina i la Torre Llobeta,Nou Barris,1100.0,80,3,2
Hostafrancs,Sants-Montjuïc,1050.0,79,2,1
la Maternitat i Sant Ramon,Sants-Montjuïc,1300.0,122,4,2
el Poble Sec,Sants-Montjuïc,860.0,66,3,1
Fort Pienc,L'Eixample,1700.0,61,1,1
